District,LSOA,All People,Aged under 1 year,Aged 1 year,Aged 2 years,Aged 3 years,Aged 4 years,Aged 5 years,Aged 6 years,Aged 7 years,Aged 8 years,Aged 9 years,Aged 10 years,Aged 11 years,Aged 12 years,Aged 13 years,Aged 14 years,Aged 15 years,Aged 16 years,Aged 17 years,Aged 18 years,Aged 19 years,Aged 20 years,Aged 21 years,Aged 22 years,Aged 23 years,Aged 24 years,Aged 25 years,Aged 26 years,Aged 27 years,Aged 28 years,Aged 29 years,Aged 30 years,Aged 31 years,Aged 32 years,Aged 33 years,Aged 34 years,Aged 35 years,Aged 36 years,Aged 37 years,Aged 38 years,Aged 39 years,Aged 40 years,Aged 41 years,Aged 42 years,Aged 43 years,Aged 44 years,Aged 45 years,Aged 46 years,Aged 47 years,Aged 48 years,Aged 49 years,Aged 50 years,Aged 51 years,Aged 52 years,Aged 53 years,Aged 54 years,Aged 55 years,Aged 56 years,Aged 57 years,Aged 58 years,Aged 59 years,Aged 60 years,Aged 61 years,Aged 62 years,Aged 63 years,Aged 64 years,Aged 65 years,Aged 66 years,Aged 67 years,Aged 68 years,Aged 69 years,Aged 70 years,Aged 71 years,Aged 72 years,Aged 73 years,Aged 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 to 94 years,Aged 95 to 99 years,Aged 100 years and over,,
Beighton,E01008033,1416,10,12,14,14,17,12,11,12,23,19,19,18,15,22,10,17,21,20,15,16,17,22,10,15,12,14,13,12,14,14,12,15,11,20,20,20,19,10,19,32,27,22,33,22,36,21,29,24,16,28,23,21,30,29,31,17,25,23,23,15,10,17,16,12,16,20,10,18,15,11,15,8,9,8,11,36,29,15,7,0,0,,
Beighton,E01008034,1584,15,12,27,25,26,25,33,30,36,34,19,30,25,33,21,23,22,16,17,11,10,12,13,8,14,16,12,8,30,26,33,22,37,37,31,24,45,29,29,34,44,35,33,32,26,16,21,14,17,14,14,19,13,15,17,3,16,7,17,9,15,9,9,10,13,10,8,13,9,8,7,8,12,13,10,48,34,13,0,3,0,,
Beighton,E01008035,1234,7,14,15,21,16,16,16,23,25,24,16,18,17,18,18,13,19,12,11,7,17,10,12,7,4,12,11,15,18,16,21,21,18,23,31,26,26,33,22,27,25,20,29,27,24,17,17,20,17,18,17,14,19,18,18,13,16,10,12,16,12,13,11,12,14,12,12,3,9,9,8,8,4,0,4,18,15,4,3,0,0,,
Beighton,E01008036,1553,20,19,16,22,27,22,30,30,27,31,27,19,22,28,27,23,20,22,17,13,14,21,11,21,16,19,29,33,28,22,28,33,28,38,23,26,45,38,41,34,43,40,32,31,45,28,35,18,19,27,11,17,21,19,11,10,11,8,6,8,6,10,3,4,6,3,8,6,7,3,3,5,0,3,3,14,11,4,4,0,0,,
Beighton,E01008038,1682,15,16,19,15,10,18,10,19,14,17,16,22,20,16,17,8,11,8,5,12,8,19,14,13,19,14,14,17,34,16,25,26,21,19,17,33,23,22,21,35,22,19,31,33,21,30,29,25,17,18,22,23,33,27,40,25,43,29,29,25,23,23,36,26,23,29,25,31,23,17,26,15,13,24,18,51,27,13,0,0,0,,
Beighton,E01008039,1420,13,11,13,9,18,8,17,21,21,12,19,20,19,18,21,19,15,24,11,11,13,11,16,10,16,18,15,19,23,21,29,20,22,11,22,28,26,22,25,24,24,18,15,25,27,15,26,25,28,15,15,21,29,28,19,16,22,23,18,20,18,11,7,21,12,14,11,15,9,18,16,17,13,8,11,51,21,4,3,0,0,,
Beighton,E01008040,1411,12,17,15,17,14,31,23,20,21,25,13,17,24,26,26,27,23,15,19,13,10,12,16,10,14,16,13,21,30,41,31,33,21,27,22,28,23,27,17,32,29,21,33,19,22,28,21,26,24,17,21,10,16,17,22,15,17,15,10,15,8,9,10,12,11,10,14,9,0,12,4,10,5,3,7,31,9,4,3,0,0,,
Beighton,E01008041,1552,19,20,24,33,19,26,22,22,27,32,34,27,26,26,22,23,28,21,26,17,18,11,17,13,28,15,20,21,20,27,39,42,31,31,29,38,49,34,43,49,33,31,30,45,21,21,25,31,22,22,20,13,11,11,14,14,10,7,12,6,9,11,5,6,4,0,6,3,4,3,3,5,3,4,0,13,5,0,0,0,0,,
Birley,E01007835,1457,9,17,11,14,13,10,27,18,17,7,15,7,9,17,9,13,24,13,14,12,9,8,9,8,13,10,9,18,21,14,18,15,19,18,26,19,22,28,16,29,22,15,15,17,17,22,22,14,17,23,16,20,17,26,16,15,17,27,12,15,13,20,16,27,14,14,27,21,21,27,25,23,31,20,22,63,55,37,11,0,0,,
Birley,E01007836,1604,18,17,21,20,18,22,15,23,17,19,25,18,20,20,16,20,19,14,16,13,10,5,8,9,4,12,9,6,16,19,14,15,11,23,15,35,30,42,30,28,19,16,19,22,26,19,29,15,19,14,14,9,17,22,25,22,18,18,14,12,19,28,27,28,27,27,26,28,28,21,26,29,29,27,18,71,46,14,4,0,0,,
Birley,E01007837,1632,33,32,37,31,23,21,26,26,31,40,30,28,22,21,19,22,24,21,20,18,15,26,23,16,25,21,28,19,33,29,30,32,27,35,18,29,24,17,18,10,15,18,16,19,19,13,17,17,9,11,10,20,21,34,22,18,24,22,13,23,18,11,19,15,16,20,19,9,14,8,11,10,6,15,11,35,25,5,4,0,0,,
Birley,E01007838,1477,12,22,17,17,20,12,22,16,24,14,18,11,20,15,9,15,17,17,24,7,17,13,15,11,12,14,25,29,23,22,20,30,24,24,28,30,28,35,17,21,21,27,23,20,21,19,15,16,17,16,14,10,22,23,22,17,26,13,18,25,14,14,17,18,18,11,9,6,8,16,8,11,15,17,12,72,34,19,6,0,0,,
Birley,E01007839,1649,30,25,24,21,29,25,22,15,16,27,21,15,14,20,18,13,19,18,10,15,21,15,8,20,26,35,24,38,33,37,45,35,36,49,29,33,39,21,34,35,43,27,28,21,18,16,20,19,14,17,22,18,22,23,23,16,17,15,12,9,19,10,14,19,11,9,10,12,10,10,13,11,11,5,7,32,19,10,4,3,0,,
Birley,E01007840,1585,10,9,19,22,13,23,17,12,24,15,17,16,18,16,24,16,18,22,9,15,11,22,8,10,12,11,20,18,16,20,26,21,19,28,17,20,25,21,18,14,23,18,9,14,9,15,20,17,27,18,21,22,19,37,28,13,27,16,18,15,15,13,21,18,22,12,10,14,22,15,14,16,17,20,21,164,69,20,4,0,0,,
Birley,E01007841,1498,19,23,20,19,20,22,23,20,22,19,23,22,19,22,17,20,11,17,15,6,8,14,11,9,15,14,26,20,22,25,21,27,42,33,33,35,33,29,30,32,26,22,24,14,17,18,20,24,17,19,5,18,15,21,23,13,27,19,25,17,15,22,20,21,11,17,14,5,14,11,5,11,4,8,8,27,20,15,8,0,0,,
Birley,E01007842,1589,13,13,24,20,15,14,21,25,21,25,17,38,27,22,15,21,28,17,18,11,16,4,10,9,7,15,14,14,19,26,16,24,25,22,29,28,33,25,25,32,25,22,19,30,18,6,15,18,14,15,16,20,12,18,31,17,20,18,13,15,19,8,22,25,15,16,13,12,10,16,10,6,13,9,12,130,70,19,4,0,0,,
Birley,E01007843,1462,10,10,8,10,14,10,11,17,12,14,20,14,12,9,18,11,7,10,9,6,8,14,6,11,12,10,18,13,15,21,24,16,12,12,22,15,13,16,16,11,16,14,7,24,27,20,11,20,8,13,25,11,16,24,15,20,28,14,13,17,20,18,14,22,21,21,9,13,14,14,21,15,16,25,36,168,94,48,10,3,0,,
Birley,E01007844,1628,12,20,14,30,16,18,18,16,14,23,17,26,22,15,19,19,22,13,12,15,18,20,13,18,14,16,17,29,21,18,25,30,15,25,21,19,12,22,29,23,17,24,11,16,24,14,18,15,20,21,15,15,23,28,23,16,27,15,17,8,13,15,13,15,11,13,14,8,18,7,10,15,17,22,29,153,76,28,12,6,0,,
Birley,E01007845,1466,15,18,16,17,26,30,22,25,25,36,23,19,28,22,18,19,18,18,15,7,19,7,15,10,12,13,15,18,15,22,34,12,22,18,25,23,23,24,24,16,18,12,18,19,16,11,16,12,14,9,17,19,16,16,19,9,16,17,19,14,16,20,12,22,17,14,18,10,10,11,18,18,11,19,15,74,47,17,3,3,0,,
Birley,E01007846,1466,14,15,11,7,10,20,21,26,19,19,13,17,21,16,22,12,15,20,15,16,15,6,10,15,6,14,11,10,18,22,20,21,24,22,22,33,21,22,26,30,24,23,23,21,14,16,22,18,13,19,18,11,23,26,23,23,19,19,16,16,15,16,18,21,17,17,23,20,11,12,16,14,10,18,8,65,42,32,7,0,0,,
